S.NO,ITEM,PRICE(INR),PRICE(USD),
1,Df Player,600,7 USD,https://robu.in/product/dfrobot-dfplayer-a-mini-mp3-player/
2,Arduino Nano,500,6 USD,https://robu.in/product/arduino-nano-board-r3-with-ch340-chip-wo-usb-cable-solderedarduino-nano-r3-wo-usb-cable-soldered/?gad_source=1&gad_campaignid=21296336107&gbraid=0AAAAADvLFWdx97UmHdwWIO9UbKgDrebaL&gclid=Cj0KCQjwu7TCBhCYARIsAM_S3NhPXt8Y-SiPcujTBkuTvDjKoI5FaNEpTz7DumGAJk5hxzK__B736aIaAoGREALw_wcB
3,PCB BOARDS,200,4 USD,https://robu.in/product/5-x-7-cm-universal-pcb-prototype-board-single-sided-2-54mm-hole-pitch/
4,32 GB SD CARD,500,6 USD,https://www.electronicscomp.com/sandisk-32gb-micro-sd-class-10-memory-card?srsltid=AfmBOoooDia4krOXeGJ4pOmrf9YyZlUnarxRNmdwQy-uIYoTUgDjVu6KLI8
5,1.3 Inch OLED,500,6 USD,https://robu.in/product/1-3-inch-i2c-iic-oled-lcd-module-4pin-with-vcc-gnd-white/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWcs-dDNKCsaMNQXS7my09jWD&gclid=Cj0KCQjwu7TCBhCYARIsAM_S3NgGnk3HTyCzGzRtj0tMA_mb7CKwrJVx3oEhPvXtUAuzfZIbZBFfHmMaAuLuEALw_wcB
6,Slide Switches,10,0.15 USD,https://robu.in/product/ss-22f25g5-slide-2p2t-straight-switchheight5mm/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWemiuVAwr5beam3xdLlFT4zf&gclid=Cj0KCQjwu7TCBhCYARIsAM_S3NgvqTa19tQGrqSij0xeQReifdfbhkVN9uRYNoUhzVXytvwXoimBIfQaAgDAEALw_wcB
7,tp4056,50,0.75 USD,https://robu.in/product/tp4056-1a-li-ion-lithium-battery-charging-module-with-current-protection-type-c/?gad_source=1&gad_campaignid=21296336107&gbraid=0AAAAADvLFWdx97UmHdwWIO9UbKgDrebaL&gclid=Cj0KCQjwu7TCBhCYARIsAM_S3NiEp3U_ggvmlCgVFKqH5t0qN-BzP5Ndwd76c-wyhT3xPtLFBSykqlgaAq1EEALw_wcB
8,Push buttons,25,0.25 USD (approx),https://robu.in/product/6x6x5-tactile-push-button-switch/
9,Audio Jack,25,0.25 USD (approx),https://robu.in/product/cjmcu-trrs-3-5mm-audio-mp3-stereo-headphones-video-microphone-interface-module/
10,Magnets,300,4 USD,
11,Arduino Pro Mini,500,6 USD,https://robu.in/product/atmega328p-pro-mini-5v-16mhz-compatible-with-arduino/?gad_source=1&gad_campaignid=17413441824&gbraid=0AAAAADvLFWcnIHaO-TqflosxJz_EgUwjX&gclid=Cj0KCQjwu7TCBhCYARIsAM_S3Niyac4nlGpD7Y_hJ9J6c0Ddf0XhhsElPvWUQN4I3FI2oOMtaCJXRzgaAvPlEALw_wcB
12,300 MAH lipo,170,3 USD,https://robu.in/product/wly601145-300mah-3-7v-single-cell-rechargeable-lipo-battery/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWcslmJH9rMJFMaNNShCkpaOI&gclid=Cj0KCQjwu7TCBhCYARIsAM_S3NjhaeYGxWytI4BPkUTFudzo5XJPHrpp_yNtuqc4Gvx3V7UgcAOn8D0aAm0qEALw_wcB
13,Very thin Soldering Iron,TBD,TBD,
14,TEA5767,800,10 USD,https://www.flipkart.com/kitsguru-tea5767-fm-stereo-radio-module-76-108mhz-free-cable-antenna-electronic-hobby-kit/p/itmf8vx86yjvh9st?pid=EHKF8VGXJTHHPYAC&lid=LSTEHKF8VGXJTHHPYACBVX8BM&marketplace=FLIPKART&cmpid=content_electronic-hobby-kit_8965229628_gmc
,,,,
,TOTAL,,57 USD,
